"species","decimalLongitude","decimalLatitude","year"
"200","Cardinalis cardinalis",-91.105887,30.370446,2024
"201","Cardinalis cardinalis",-91.105903,30.370456,2024
"202","Cardinalis cardinalis",-98.289966,29.413324,2024
"203","Cardinalis cardinalis",-98.288722,29.412322,2024
"204","Cardinalis cardinalis",-98.288722,29.412322,2024
"205","Cardinalis cardinalis",-98.288722,29.412322,2024
"206","Cardinalis cardinalis",-98.288722,29.412322,2024
"207","Cardinalis cardinalis",-98.288722,29.412322,2024
"208","Cardinalis cardinalis",-98.288722,29.412322,2024
"209","Cardinalis cardinalis",-98.288722,29.412322,2024
"210","Cardinalis cardinalis",-98.288722,29.412322,2024
"211","Cardinalis cardinalis",-98.288722,29.412322,2024
"212","Cardinalis cardinalis",-98.288722,29.412322,2024
"213","Cardinalis cardinalis",-98.288722,29.412322,2024
"214","Cardinalis cardinalis",-98.288722,29.412322,2024
"215","Cardinalis cardinalis",-98.288722,29.412322,2024
"216","Cardinalis cardinalis",-98.288722,29.412322,2024
"217","Cardinalis cardinalis",-98.288722,29.412322,2024
"218","Cardinalis cardinalis",-98.288722,29.412322,2024
"219","Cardinalis cardinalis",-98.289951,29.413325,2024
"220","Cardinalis cardinalis",-98.28881,29.412454,2024
"221","Cardinalis cardinalis",-96.777597,32.828467,2024
"222","Cardinalis cardinalis",-84.280156,39.257781,2024
"223","Cardinalis cardinalis",-81.518573,41.016762,2024
"224","Cardinalis cardinalis",-81.518438,41.016698,2024
"225","Cardinalis cardinalis",-81.51836,41.013757,2024
"226","Cardinalis cardinalis",-81.518965,41.012695,2024
"227","Cardinalis cardinalis",-81.518997,41.012698,2024
"228","Cardinalis cardinalis",-72.872123,42.872208,2024
"229","Cardinalis cardinalis",-97.160049,32.885713,2024
"230","Cardinalis cardinalis",-79.598065,43.726809,2024
"231","Cardinalis cardinalis",-79.594266,43.72572,2024
"232","Cardinalis cardinalis",-82.335663,26.891531,2024
"233","Cardinalis cardinalis",-97.743061,30.267153,2024
"234","Cardinalis cardinalis",-98.835374,29.973598,2024
"235","Cardinalis cardinalis",-97.276078,32.9408,2024
"236","Cardinalis cardinalis",-90.669301,35.742333,2024
"237","Cardinalis cardinalis",-90.669367,35.742462,2024
"238","Cardinalis cardinalis",-90.703646,35.766281,2024
"239","Cardinalis cardinalis",-79.308666,43.655469,2024
"240","Cardinalis cardinalis",-79.674088,43.565026,2024
"241","Cardinalis cardinalis",-91.105872,30.369382,2024
"242","Cardinalis cardinalis",-91.105847,30.369469,2024
"243","Cardinalis cardinalis",-89.389358,43.077922,2024
"244","Cardinalis cardinalis",-96.660197,30.293769,2024
"245","Cardinalis cardinalis",-75.067297,40.3287,2024
"246","Cardinalis cardinalis",-75.067297,40.3287,2024
"247","Cardinalis cardinalis",-75.067297,40.3287,2024
"248","Cardinalis cardinalis",-93.221946,44.958655,2024
"249","Cardinalis cardinalis",-83.946611,35.808182,2024
"250","Cardinalis cardinalis",-73.951003,40.726112,2024
"251","Cardinalis cardinalis",-96.988498,28.134078,2024
"252","Cardinalis cardinalis",-96.988448,28.13402,2024
"253","Cardinalis cardinalis",-82.432264,27.328506,2024
"254","Cardinalis cardinalis",-111.897672,34.830955,2024
"255","Cardinalis cardinalis",-97.893412,30.341022,2024
"256","Cardinalis cardinalis",-97.227745,30.383672,2024
"257","Cardinalis cardinalis",-97.258332,31.569732,2024
"258","Cardinalis cardinalis",-97.025877,30.383838,2024
"259","Cardinalis cardinalis",-98.347044,29.5366,2024
"260","Cardinalis cardinalis",-96.875429,30.287911,2024
"261","Cardinalis cardinalis",-96.875134,30.28845,2024
"262","Cardinalis cardinalis",-96.875242,30.288434,2024
"263","Cardinalis cardinalis",-97.025877,30.383838,2024
"264","Cardinalis cardinalis",-97.025877,30.383838,2024
"265","Cardinalis cardinalis",-87.774042,34.774101,2024
"266","Cardinalis cardinalis",-82.527954,35.516159,2024
"267","Cardinalis cardinalis",-80.766402,25.657137,2024
"268","Cardinalis cardinalis",-75.0673,40.328699,2024
"269","Cardinalis cardinalis",-75.0673,40.328699,2024
"270","Cardinalis cardinalis",-75.0673,40.328699,2024
"271","Cardinalis cardinalis",-85.542413,38.056496,2024
"272","Cardinalis cardinalis",-97.231557,32.731939,2024
"273","Cardinalis cardinalis",-92.500866,31.434892,2024
"274","Cardinalis cardinalis",-83.947692,35.806769,2024
"275","Cardinalis cardinalis",-75.0673,40.328699,2024
"276","Cardinalis cardinalis",-97.08645,32.660667,2024
"277","Cardinalis cardinalis",-73.934635,45.470362,2024
"278","Cardinalis cardinalis",-73.930501,45.472003,2024
"279","Cardinalis cardinalis",-73.937019,45.469963,2024
"280","Cardinalis cardinalis",-84.058968,33.586915,2024
"281","Cardinalis cardinalis",-80.37881,41.295498,2024
"282","Cardinalis cardinalis",-80.378837,41.295494,2024
"283","Cardinalis cardinalis",-82.533126,28.0764,2024
"284","Cardinalis cardinalis",-79.676658,44.368828,2024
"285","Cardinalis cardinalis",-88.087644,30.246495,2024
"286","Cardinalis cardinalis",-85.616423,36.05187,2024
"287","Cardinalis cardinalis",-97.758719,30.41788,2024
"288","Cardinalis cardinalis",-81.430914,41.111011,2024
"289","Cardinalis cardinalis",-94.725918,31.358842,2024
"290","Cardinalis cardinalis",-78.859827,44.282159,2024
"291","Cardinalis cardinalis",-83.477866,41.697732,2024
"292","Cardinalis cardinalis",-73.697761,45.552848,2024
"293","Cardinalis cardinalis",-80.358714,43.407848,2024
"294","Cardinalis cardinalis",-96.81138,32.831019,2024
"295","Cardinalis cardinalis",-84.102741,42.569996,2024
"296","Cardinalis cardinalis",-82.104653,39.328895,2024
"297","Cardinalis cardinalis",-97.713094,30.290675,2024
"298","Cardinalis cardinalis",-87.633137,41.9632,2024
"299","Cardinalis cardinalis",-96.843848,33.141284,2024
"300","Cardinalis cardinalis",-96.843848,33.141284,2024
"301","Cardinalis cardinalis",-79.323115,43.646937,2024
"302","Cardinalis cardinalis",-97.012133,33.365651,2024
"303","Cardinalis cardinalis",-82.565225,27.386297,2024
"304","Cardinalis cardinalis",-76.899824,39.14815,2024
"305","Cardinalis cardinalis",-86.67879,33.760405,2024
"306","Cardinalis cardinalis",-97.025877,30.383838,2024
"307","Cardinalis cardinalis",-84.357832,39.431578,2024
"308","Cardinalis cardinalis",-82.565262,27.386245,2024
"309","Cardinalis cardinalis",-81.80262,38.269828,2024
"310","Cardinalis cardinalis",-82.5653,27.386287,2024
"311","Cardinalis cardinalis",-81.576744,41.375708,2024
"312","Cardinalis cardinalis",-79.674581,43.564805,2024
"313","Cardinalis cardinalis",-77.512742,43.192775,2024
"314","Cardinalis cardinalis",-80.287834,25.819761,2024
"315","Cardinalis cardinalis",-83.985134,35.779653,2024
"316","Cardinalis cardinalis",-98.288709,29.412321,2024
"317","Cardinalis cardinalis",-98.288708,29.412323,2024
"318","Cardinalis cardinalis",-98.288708,29.412323,2024
"319","Cardinalis cardinalis",-98.288708,29.412323,2024
"320","Cardinalis cardinalis",-73.711725,41.232864,2024
"321","Cardinalis cardinalis",-75.702934,45.386958,2024
"322","Cardinalis cardinalis",-75.702924,45.386953,2024
"323","Cardinalis cardinalis",-88.202112,42.392403,2024
"324","Cardinalis cardinalis",-76.01599,40.810552,2024
"325","Cardinalis cardinalis",-84.51202,39.103025,2024
"326","Cardinalis cardinalis",-94.803964,30.274927,2024
"327","Cardinalis cardinalis",-79.841511,43.302953,2024
"328","Cardinalis cardinalis",-74.914123,40.209793,2024
"329","Cardinalis cardinalis",-97.065103,32.643609,2024
"330","Cardinalis cardinalis",-76.124696,38.86046,2024
"331","Cardinalis cardinalis",-75.382154,40.093436,2024
"332","Cardinalis cardinalis",-90.865744,38.663853,2024
"333","Cardinalis cardinalis",-73.820525,45.922971,2024
"334","Cardinalis cardinalis",-80.118419,32.638806,2024
"335","Cardinalis cardinalis",-100.5512,26.546818,2024
"336","Cardinalis cardinalis",-84.495011,38.031139,2024
"337","Cardinalis cardinalis",-98.812925,30.50354,2024
"338","Cardinalis cardinalis",-97.60263,30.465478,2024
"339","Cardinalis cardinalis",-64.229628,44.955441,2024
"340","Cardinalis cardinalis",-96.986196,32.62603,2024
"341","Cardinalis cardinalis",-88.196463,32.608141,2024
"342","Cardinalis cardinalis",-73.923675,40.700929,2024
"343","Cardinalis cardinalis",-97.010146,32.65466,2024
"344","Cardinalis cardinalis",-82.648225,40.727898,2024
"345","Cardinalis cardinalis",-79.379292,43.691926,2024
"346","Cardinalis cardinalis",-78.933307,43.894215,2024
"347","Cardinalis cardinalis",-111.985666,33.779957,2024
"348","Cardinalis cardinalis",-111.957965,33.870793,2024
"349","Cardinalis cardinalis",-71.710663,41.462118,2024
"350","Cardinalis cardinalis",-71.762817,41.451583,2024
"351","Cardinalis cardinalis",-71.787302,41.439849,2024
"352","Cardinalis cardinalis",-71.707528,41.490472,2024
"353","Cardinalis cardinalis",-81.641765,40.672656,2024
"354","Cardinalis cardinalis",-96.858155,33.165006,2024
"355","Cardinalis cardinalis",-73.815064,45.520969,2024
"356","Cardinalis cardinalis",-72.780296,43.870748,2024
"357","Cardinalis cardinalis",-82.432717,27.325653,2024
"358","Cardinalis cardinalis",-96.541196,28.957616,2024
"359","Cardinalis cardinalis",-87.413516,30.350696,2024
"360","Cardinalis cardinalis",-73.826125,45.536227,2024
"361","Cardinalis cardinalis",-75.025857,40.118562,2024
"362","Cardinalis cardinalis",-97.609149,35.582689,2024
"363","Cardinalis cardinalis",-75.025855,40.118573,2024
"364","Cardinalis cardinalis",-75.693716,45.383594,2024
"365","Cardinalis cardinalis",-84.300421,39.236503,2024
"366","Cardinalis cardinalis",-77.512803,43.19272,2024
"367","Cardinalis cardinalis",-82.565247,27.386287,2024
"368","Cardinalis cardinalis",-81.60439,26.375555,2024
"369","Cardinalis cardinalis",-86.357303,32.393051,2024
"370","Cardinalis cardinalis",-96.791957,33.709963,2024
"371","Cardinalis cardinalis",-98.486759,29.874763,2024
"372","Cardinalis cardinalis",-98.486755,29.874762,2024
"373","Cardinalis cardinalis",-80.395941,43.279912,2024
"374","Cardinalis cardinalis",-80.395941,43.279912,2024
"375","Cardinalis cardinalis",-73.803154,45.630048,2024
"376","Cardinalis cardinalis",-77.560244,37.637437,2024
"377","Cardinalis cardinalis",-79.260736,43.158993,2024
"378","Cardinalis cardinalis",-98.389547,33.762691,2024
"379","Cardinalis cardinalis",-92.424605,34.779258,2024
"380","Cardinalis cardinalis",-99.148571,30.050126,2024
"381","Cardinalis cardinalis",-72.634266,41.893794,2024
"382","Cardinalis cardinalis",-97.602619,30.465477,2024
"383","Cardinalis cardinalis",-77.481053,43.126985,2024
"384","Cardinalis cardinalis",-77.481068,43.127456,2024
"385","Cardinalis cardinalis",-75.359924,37.940696,2024
"386","Cardinalis cardinalis",-97.758719,30.41788,2024
"387","Cardinalis cardinalis",-79.513603,43.664827,2024
"388","Cardinalis cardinalis",-82.481278,28.931142,2024
"389","Cardinalis cardinalis",-87.29525,34.726066,2024
"390","Cardinalis cardinalis",-79.513905,43.663979,2024
"391","Cardinalis cardinalis",-97.419966,31.035527,2024
"392","Cardinalis cardinalis",-79.311549,34.883808,2024
"393","Cardinalis cardinalis",-98.341197,28.488622,2024
"394","Cardinalis cardinalis",-79.37732,43.77962,2024
"395","Cardinalis cardinalis",-79.37732,43.77962,2024
"396","Cardinalis cardinalis",-84.033914,42.458866,2024
"397","Cardinalis cardinalis",-84.146125,42.451527,2024
"398","Cardinalis cardinalis",-84.194985,42.547049,2024
"399","Cardinalis cardinalis",-84.240436,37.553708,2024
"400","Cardinalis cardinalis",-84.240436,37.553708,2024
"401","Cardinalis cardinalis",-73.934011,45.470315,2024
"402","Cardinalis cardinalis",-73.93454,45.470346,2024
"403","Cardinalis cardinalis",-87.340075,34.708455,2024
"404","Cardinalis cardinalis",-75.584464,45.320539,2024
"405","Cardinalis cardinalis",-93.216323,44.859795,2024
"406","Cardinalis cardinalis",-93.216323,44.859795,2024
"407","Cardinalis cardinalis",-93.216323,44.859795,2024
"408","Cardinalis cardinalis",-87.353197,34.703466,2024
"409","Cardinalis cardinalis",-87.353197,34.703466,2024
